time_ms,lead_ii_mv
0.0,-0.0973
4.0,0.0426
8.0,0.3285
12.0,0.7085
16.0,1.056
20.0,1.201
24.0,1.0608
28.0,0.73
32.0,0.3921
36.0,0.1652
40.0,0.0559
44.0,0.0168
48.0,0.0064
52.0,0.0045
56.0,0.0044
60.0,0.0047
64.0,0.005
68.0,0.0053
72.0,0.0056
76.0,0.006
80.0,0.0063
84.0,0.0066
88.0,0.0069
92.0,0.0072
96.0,0.0075
100.0,0.0078
104.0,0.0081
108.0,0.0084
112.0,0.0088
116.0,0.0091
120.0,0.0094
124.0,0.0097
128.0,0.01
132.0,0.0103
136.0,0.0107
140.0,0.011
144.0,0.0113
148.0,0.0117
152.0,0.0121
156.0,0.0125
160.0,0.013
164.0,0.0135
168.0,0.0141
172.0,0.0148
176.0,0.0157
180.0,0.0167
184.0,0.018
188.0,0.0195
192.0,0.0214
196.0,0.0237
200.0,0.0264
204.0,0.0298
208.0,0.0338
212.0,0.0386
216.0,0.0442
220.0,0.0508
224.0,0.0584
228.0,0.067
232.0,0.0768
236.0,0.0876
240.0,0.0996
244.0,0.1125
248.0,0.1264
252.0,0.141
256.0,0.1561
260.0,0.1715
264.0,0.1869
268.0,0.202
272.0,0.2164
276.0,0.2298
280.0,0.2419
284.0,0.2524
288.0,0.2609
292.0,0.2672
296.0,0.2712
300.0,0.2727
304.0,0.2717
308.0,0.2683
312.0,0.2625
316.0,0.2546
320.0,0.2447
324.0,0.2332
328.0,0.2203
332.0,0.2064
336.0,0.1919
340.0,0.1771
344.0,0.1622
348.0,0.1477
352.0,0.1336
356.0,0.1204
360.0,0.108
364.0,0.0966
368.0,0.0863
372.0,0.0771
376.0,0.069
380.0,0.0619
384.0,0.0559
388.0,0.0509
392.0,0.0466
396.0,0.0432
400.0,0.0404
404.0,0.0382
408.0,0.0364
412.0,0.0351
416.0,0.0341
420.0,0.0334
424.0,0.0329
428.0,0.0326
432.0,0.0325
436.0,0.0324
440.0,0.0324
444.0,0.0325
448.0,0.0326
452.0,0.0328
456.0,0.033
460.0,0.0331
464.0,0.0334
468.0,0.0336
472.0,0.0338
476.0,0.034
480.0,0.0342
484.0,0.0345
488.0,0.0347
492.0,0.0349
496.0,0.0351
500.0,-0.0619
504.0,0.0779
508.0,0.3637
512.0,0.7436
516.0,1.0909
520.0,1.2359
524.0,1.0956
528.0,0.7647
532.0,0.4267
536.0,0.1997
540.0,0.0902
544.0,0.051
548.0,0.0405
552.0,0.0385
556.0,0.0384
560.0,0.0385
564.0,0.0387
568.0,0.0389
572.0,0.0391
576.0,0.0393
580.0,0.0395
584.0,0.0397
588.0,0.0399
592.0,0.0401
596.0,0.0403
600.0,0.0405
604.0,0.0406
608.0,0.0408
612.0,0.041
616.0,0.0412
620.0,0.0414
624.0,0.0415
628.0,0.0417
632.0,0.0419
636.0,0.0421
640.0,0.0423
644.0,0.0425
648.0,0.0427
652.0,0.043
656.0,0.0433
660.0,0.0436
664.0,0.044
668.0,0.0444
672.0,0.045
676.0,0.0457
680.0,0.0466
684.0,0.0477
688.0,0.0491
692.0,0.0508
696.0,0.0529
700.0,0.0555
704.0,0.0587
708.0,0.0626
712.0,0.0672
716.0,0.0727
720.0,0.0791
724.0,0.0865
728.0,0.095
732.0,0.1046
736.0,0.1153
740.0,0.1271
744.0,0.1398
748.0,0.1535
752.0,0.1679
756.0,0.1829
760.0,0.1981
764.0,0.2133
768.0,0.2283
772.0,0.2425
776.0,0.2558
780.0,0.2677
784.0,0.2779
788.0,0.2863
792.0,0.2924
796.0,0.2962
800.0,0.2976
804.0,0.2964
808.0,0.2928
812.0,0.2868
816.0,0.2787
820.0,0.2686
824.0,0.2569
828.0,0.2439
832.0,0.2298
836.0,0.2151
840.0,0.2001
844.0,0.185
848.0,0.1703
852.0,0.156
856.0,0.1426
860.0,0.13
864.0,0.1184
868.0,0.1079
872.0,0.0985
876.0,0.0902
880.0,0.0829
884.0,0.0767
888.0,0.0715
892.0,0.067
896.0,0.0634
900.0,0.0604
904.0,0.0579
908.0,0.056
912.0,0.0545
916.0,0.0533
920.0,0.0524
924.0,0.0517
928.0,0.0512
932.0,0.0508
936.0,0.0505
940.0,0.0503
944.0,0.0502
948.0,0.0501
952.0,0.05
956.0,0.05
960.0,0.05
964.0,0.05
968.0,0.05
972.0,0.05
976.0,0.05
980.0,0.05
984.0,0.05
988.0,0.05
992.0,0.05
996.0,0.05
1000.0,-0.0473
1004.0,0.0923
1008.0,0.3779
