time_ms,lead_ii_mv
0.0,-0.0973
4.0,0.0426
8.0,0.3285
12.0,0.7085
16.0,1.056
20.0,1.201
24.0,1.0608
28.0,0.73
32.0,0.3921
36.0,0.1652
40.0,0.0559
44.0,0.0168
48.0,0.0064
52.0,0.0045
56.0,0.0044
60.0,0.0047
64.0,0.005
68.0,0.0053
72.0,0.0056
76.0,0.006
80.0,0.0063
84.0,0.0066
88.0,0.0069
92.0,0.0072
96.0,0.0075
100.0,0.0078
104.0,0.0081
108.0,0.0084
112.0,0.0088
116.0,0.0091
120.0,0.0094
124.0,0.0097
128.0,0.01
132.0,0.0103
136.0,0.0107
140.0,0.011
144.0,0.0113
148.0,0.0117
152.0,0.0121
156.0,0.0125
160.0,0.013
164.0,0.0135
168.0,0.0141
172.0,0.0148
176.0,0.0157
180.0,0.0167
184.0,0.018
188.0,0.0195
192.0,0.0214
196.0,0.0237
200.0,0.0264
204.0,0.0298
208.0,0.0338
212.0,0.0386
216.0,0.0442
220.0,0.0508
224.0,0.0584
228.0,0.067
232.0,0.0768
236.0,0.0876
240.0,0.0996
244.0,0.1125
248.0,0.1264
252.0,0.141
256.0,0.1561
260.0,0.1715
264.0,0.1869
268.0,0.202
272.0,0.2164
276.0,0.2298
280.0,0.2419
284.0,0.2524
288.0,0.2609
292.0,0.2672
296.0,0.2712
300.0,0.2727
304.0,0.2717
308.0,0.2683
312.0,0.2625
316.0,0.2546
320.0,0.2447
324.0,0.2332
328.0,0.2203
332.0,0.2064
336.0,0.1919
340.0,0.1771
344.0,0.1622
348.0,0.1477
352.0,0.1336
356.0,0.1204
360.0,0.108
364.0,0.0966
368.0,0.0863
372.0,0.0771
376.0,0.069
380.0,0.0619
384.0,0.0559
388.0,0.0509
392.0,0.0466
396.0,0.0432
400.0,0.0404
404.0,0.0382
408.0,0.0364
412.0,0.0351
416.0,0.0341
420.0,0.0334
424.0,0.0329
428.0,0.0326
432.0,0.0325
436.0,0.0324
440.0,0.0324
444.0,0.0325
448.0,0.0326
452.0,0.0328
456.0,0.033
460.0,0.0331
464.0,0.0334
468.0,0.0336
472.0,0.0338
476.0,0.034
480.0,0.0342
484.0,0.0345
488.0,0.0347
492.0,0.0349
496.0,0.0351
500.0,0.0354
504.0,0.0356
508.0,0.0358
512.0,0.036
516.0,0.0362
520.0,0.0364
524.0,0.0367
528.0,0.0369
532.0,0.0371
536.0,0.0373
540.0,0.0375
544.0,0.0377
548.0,0.0379
552.0,0.0381
556.0,0.0383
560.0,0.0385
564.0,0.0387
568.0,0.0389
572.0,0.0391
576.0,0.0393
580.0,0.0395
584.0,0.0397
588.0,0.0399
592.0,0.0401
596.0,0.0403
600.0,0.0405
604.0,0.0406
608.0,0.0408
612.0,0.041
616.0,0.0412
620.0,0.0414
624.0,0.0415
628.0,0.0417
632.0,0.0419
636.0,0.042
640.0,0.0422
644.0,0.0424
648.0,0.0425
652.0,0.0427
656.0,0.0429
660.0,0.043
664.0,0.0432
668.0,0.0434
672.0,0.0435
676.0,0.0437
680.0,0.0438
684.0,0.044
688.0,0.0441
692.0,0.0443
696.0,0.0444
700.0,0.0446
704.0,0.0447
708.0,0.0448
712.0,0.045
716.0,0.0451
720.0,0.0452
724.0,0.0454
728.0,0.0455
732.0,0.0456
736.0,0.0458
740.0,0.0459
744.0,0.046
748.0,0.0461
752.0,0.0463
756.0,0.0464
760.0,0.0465
764.0,0.0466
768.0,0.0467
772.0,0.0468
776.0,0.0469
780.0,0.047
784.0,0.0471
788.0,0.0473
792.0,0.0474
796.0,0.0475
800.0,0.0476
804.0,0.0476
808.0,0.0477
812.0,0.0478
816.0,0.0479
820.0,0.048
824.0,0.0481
828.0,0.0482
832.0,0.0483
836.0,0.0272
840.0,0.2667
844.0,0.6252
848.0,1.0019
852.0,1.2309
856.0,1.1838
860.0,0.8968
864.0,0.5422
868.0,0.2725
872.0,0.1279
876.0,0.0707
880.0,0.0538
884.0,0.0499
888.0,0.0493
892.0,0.0493
896.0,0.0493
900.0,0.0494
904.0,0.0494
908.0,0.0495
912.0,0.0495
916.0,0.0496
920.0,0.0496
924.0,0.0496
928.0,0.0497
932.0,0.0497
936.0,0.0497
940.0,0.0498
944.0,0.0498
948.0,0.0498
952.0,0.0499
956.0,0.0499
960.0,0.0499
964.0,0.05
968.0,0.05
972.0,0.05
976.0,0.0501
980.0,0.0501
984.0,0.0502
988.0,0.0503
992.0,0.0505
996.0,0.0507
1000.0,0.051
1004.0,0.0513
